Academic Department,Course Code,Course Instructor,Course Name,Course Section,ISBN (Normalized),Title Author Combined and Normalized,Publisher,Title,Publication Date
GW - AMST-357,AMST/HIST 2410W - Guglielmo - Fall 2023,"Guglielmo, Thomas",AMST/HIST 2410,,1101217561; 9781101217566; 1594482853; 9781594482854,beautiful things that heaven bears - meng,Penguin Publishing Group,The Beautiful Things That Heaven Bears.,2007.
GW - AMST-357,AMST/HIST 2410W - Guglielmo - Fall 2023,"Guglielmo, Thomas",AMST/HIST 2410,,1541672615; 9781541672611; 9781541672598; 1541672593; 9781541672604; 1541672607,"america for americans a history of xenophobia in the united states - lee,",Basic Books,America for Americans : a history of xenophobia in the United States /,2021.
GW - AMST-357,AMST/HIST 2410W - Guglielmo - Fall 2023,"Guglielmo, Thomas",AMST/HIST 2410,,1781682976; 9781781682975; 9781781681909; 1781681902; 9781781685013; 1781685010,beast riding the rails and dodging narcos on the migrant trail - mart,Verso,The beast : riding the rails and dodging narcos on the migrant trail /,2014.
GW - AMST-357,AMST/HIST 2410W - Guglielmo - Fall 2023,"Guglielmo, Thomas",AMST/HIST 2410,,9780670038329; 0670038326,stealing buddha s dinner a memoir - nguy,Viking,Stealing Buddha's dinner : a memoir /,2007.
GW - AMST-357,AMST/HIST 2410W - Guglielmo - Fall 2023,"Guglielmo, Thomas",AMST/HIST 2410,,9780892552900; 0892552905,bread givers a novel - yezi,Persea Books,Bread givers : a novel /,[2003]
GW - AMST-357,AMST/HIST 2410W - Guglielmo - Fall 2023,"Guglielmo, Thomas",AMST/HIST 2410,,9781594482854; 1594482853; 9781594489402; 1594489408,beautiful things that heaven bears - meng,Riverhead Books,The beautiful things that heaven bears /,2007.
GW - ANTH-53,ANTH 1000 - Kaplan - Fall 2023,"Kaplan, Michael",ANTH 1000,,,avatar -,Lightstorm Entertainment; 20th Century Fox Home Entertainment,Avatar.,2009.
GW - ANTH-53,ANTH 1003 - Cline - Fall 2023,"Cline, Eric",ANTH 1003,,9780691166407; 0691166404,three stones make a wall the story of archaeology - clin,Princeton University Press,Three stones make a wall : the story of archaeology /,[2017]
GW - ANTH-53,ANTH 2008 - Wagner - Fall 2023,"Wagner, Sarah",ANTH 2008,,9780062748218; 0062748211,barracoon the story of the last black cargo - hurs,Amistad an imprint of HarperCollins Publishers,"Barracoon : the story of the last ""black cargo"" /",2019.
GW - ANTH-53,ANTH 2506 - Johnston - Fall 2023,"Johnston, Susan",ANTH 2506,,1281365327; 9781281365323; 9786611365325; 661136532X; 1403981795; 9781403981790; 1403966060; 9781403966063; 140396789X; 9781403967893,sorrow of the lonely and the burning of the dancers - schi,Palgrave Macmillan,The sorrow of the lonely and the burning of the dancers /,2005.
GW - ANTH-53,ANTH 2506 - Johnston - Fall 2023,"Johnston, Susan",ANTH 2506,,1282772759; 9781282772755; 9786612772757; 6612772751; 0520945530; 9780520945531; 0520253159; 9780520253155; 0520260880; 9780520260887,theater in a crowded fire ritual and spirituality at burning man - gilm,University of California Press,Theater in a crowded fire ritual and spirituality at Burning Man /,2010.
GW - ANTH-53,ANTH 2506 - Johnston - Fall 2023,"Johnston, Susan",ANTH 2506,,9780226775425; 0226775429; 9780226775432; 0226775437,in sorcery s shadow a memoir of apprenticeship among the songhay of niger - stol,University of Chicago Press,In sorcery's shadow : a memoir of apprenticeship among the Songhay of Niger /,1987.
GW - ANTH-53,ANTH 2506 - Johnston - Fall 2023,"Johnston, Susan",ANTH 2506,,9780299166748; 0299166740,atlantic celts ancient people or modern invention - jame,University of Wisconsin Press,The Atlantic Celts : ancient people or modern invention? /,[1999]
GW - ANTH-53,ANTH 2506 - Johnston - Fall 2023,"Johnston, Susan",ANTH 2506,,9780520253155; 0520253159; 9780520260887; 0520260880,theater in a crowded fire ritual and spirituality at burning man - gilm,University of California Press,Theater in a crowded fire : ritual and spirituality at Burning Man /,[2010]
GW - ANTH-53,ANTH 2506 - Johnston - Fall 2023,"Johnston, Susan",ANTH 2506,,9781403966063; 1403966060; 9781403967893; 140396789X,sorrow of the lonely and the burning of the dancers - schi,Palgrave Macmillan,The sorrow of the lonely and the burning of the dancers /,2005.
GW - ANTH-53,ANTH 3603 - Subiaul - Fall 2023,"Subiaul, Francys",ANTH 3603,,0521113636; 9780521113632; 0521130565; 9780521130561,introducing psycholinguistics - warr,Cambridge University Press,Introducing psycholinguistics /,2013.
GW - ANTH-53,ANTH 3603 - Subiaul - Fall 2023,"Subiaul, Francys",ANTH 3603,,9780631151210; 0631151214; 9780631151227; 0631151222,anthropological linguistics an introduction - fole,Blackwell Publishers,Anthropological linguistics : an introduction /,1997.
GW - ANTH-53,ANTH 6103 - Blomster - Fall 2023,"Blomster, Jeffrey",ANTH 6103,,9780813030708; 0813030706,archaeology of collective action - sait,University Press of Florida,The archaeology of collective action /,[2007]
GW - ANTH-53,ANTH 6510 - Wagner - Fall 2023,"Wagner, Sarah",ANTH 6510,,0618706410; 9780618706419; 054739117X; 9780547391175; 1606865064; 9781606865064; 1451762747; 9781451762747,things they carried a work of fiction - o'br,Mariner Books/Houghton Mifflin Harcourt,The things they carried : a work of fiction /,2009.
GW - ANTH-53,ANTH 6510 - Wagner - Fall 2023,"Wagner, Sarah",ANTH 6510,,9780140187656; 0140187650,eichmann in jerusalem a report on the banality of evil - aren,Penguin Books,Eichmann in Jerusalem : a report on the banality of evil /,1994.
GW - ANTH-53,ANTH 6510 - Wagner - Fall 2023,"Wagner, Sarah",ANTH 6510,,9780684826806; 0684826801; 9781439506899; 1439506892,survival in auschwitz the nazi assault on humanity - levi,Simon and Schuster,Survival in Auschwitz : the Nazi assault on humanity /,"1996, [1959]"
GW - ANTH-53,ANTH 6510 - Wagner - Fall 2023,"Wagner, Sarah",ANTH 6510,,9780767902892; 0767902890,things they carried a work of fiction - o'br,Broadway Books,The things they carried : a work of fiction /,1998.
GW - ANTH-53,APSC 2057 - Hallaji - Fall 2023,"Hallaji, Milad",APSC 2057,,1259977269; 9781259977268; 1259977277; 9781259977275,vector mechanics for engineers statics - beer,McGraw-Hill Education,Vector mechanics for engineers.,[2019]
GW - ARAB-1909,ARAB 1000 - Oraby - Fall 2023,"Oraby, Ebtissam",ARAB 1000,,,99 -,Teshkeel Comics,The 99.,c2007-
GW - ARAB-1909,ARAB 1000 - Oraby - Fall 2023,"Oraby, Ebtissam",ARAB 1000,,0805094881; 9780805094886,metro a story of cairo - shāf,Henry Holt and Company,Metro : a story of Cairo /,2012.
GW - ARAB-1909,ARAB 1000 - Oraby - Fall 2023,"Oraby, Ebtissam",ARAB 1000,,9781613777527; 1613777523,jinnrise volume one - awan,IDW,Jinnrise.,[2013]
GW - ARAB-1909,ARAB 1001/2001/3001 - Fall 2023,"El-Hefnawy, Dina; Jorgensen, Cory; Oraby, Ebtissam; Sinatora, Francesco; Taher, Nashwa; Tobkin, Jennifer",ARAB 1001/2001/3001,,1589017366; 9781589017368; 9781589017375; 1589017374; 1647121868; 9781647121860; 1647121876; 9781647121877; 9781589019621; 1589019628,al kitaab fii ta allum al arabiyya a textbook for beginning arabic with website part one - بروس,Georgetown University Press,Al-Kitaab fii taʻallum al-ʻArabiyya = A textbook for beginning Arabic with website.,[2021-]
GW - ARAB-1909,ARAB 1001/2001/3001 - Fall 2023,"El-Hefnawy, Dina; Jorgensen, Cory; Oraby, Ebtissam; Sinatora, Francesco; Taher, Nashwa; Tobkin, Jennifer",ARAB 1001/2001/3001,,1647121817; 9781647121815; 1647121825; 9781647121822; 9781647121853; 164712185X,alif ba alif baa introduction to arabic letters and sounds - brus,Georgetown University Press,Ālif bāʼ = Alif baa : introduction to Arabic letters and sounds /,[2021]
GW - ARAB-1909,ARAB 1001/2001/3001 - Fall 2023,"El-Hefnawy, Dina; Jorgensen, Cory; Oraby, Ebtissam; Sinatora, Francesco; Taher, Nashwa; Tobkin, Jennifer",ARAB 1001/2001/3001,,1684119189; 9781684119189; 1684119766; 9781684119769; 9783447020022; 3447020024,dictionary of modern written arabic arabic english - wehr,Snowball Publishing,A dictionary of modern written Arabic : (Arabic-English) /,1993.
GW - ARAB-1909,ARAB 2105 - Oraby - Fall 2023,"Oraby, Ebtissam",ARAB 2105,,9780313329562; 0313329567,food culture in the near east middle east and north africa - hein,Greenwood Press,"Food culture in the Near East, Middle East, and North Africa /",2004.
GW - ASTR-1541,ASTR 1001 - Dhuga - Fall 2023,"Dhuga, Kalvir",ASTR 1001,,0134874366; 9780134874364; 0134990773; 9780134990774; 0134990781; 9780134990781,cosmic perspective - benn,Pearson,The cosmic perspective /,[2020]
GW - ASTR-1541,ASTR 1002 - Razzaque - Fall 2023,"Razzaque, Soebur",ASTR 1002,,0134874366; 9780134874364; 0134990773; 9780134990774; 0134990781; 9780134990781,cosmic perspective - benn,Pearson,The cosmic perspective /,[2020]
GW - BISC-6,BISC 1111 - Manubay - Fall 2023,"Manubay, John",BISC 1111,,0135188741; 9780135188743; 9780135988046; 0135988047,campbell biology -,Pearson,Campbell biology /,[2021]
GW - BISC-6,BISC 2207 - Omotade - Fall 2023,"Omotade, Omotola",BISC 2207,,9780198712558; 0198712553; 9780198795360; 019879536X,genetics genes genomes and evolution - mene,Oxford University Press,"Genetics : genes, genomes, and evolution /",[2017]
GW - BISC-6,BISC 2320 - Malloy - Fall 2023,"Malloy, Cole",BISC 2320,,1605353809; 9781605353807; 160535841X; 9781605358413,neuroscience -,Oxford University Press,Neuroscience /,©2018
GW - BISC-6,BISC 3454 - Gedan - Fall 2023,"Gedan, Keryn",BISC 3454,,9781605352282; 1605352284,marine community ecology and conservation -,Sinauer Associates Inc,Marine community ecology and conservation /,[2014]
GW - BISC-6,BISC 3460 - Gedan - Fall 2023,"Gedan, Keryn",BISC 3460,,1605357146; 9781605357140,conservation biology - card,Oxford University Press,Conservation biology /,[2020]
GW - CAH-2011,CAH 1090 - Lipinski - Fall 2023,"Lipinski, Lisa",CAH 1090,,9780190078331; 0190078332; 9780190078348; 0190078340,themes of contemporary art visual art after 1980 - robe,Oxford University Press,Themes of contemporary art : visual art after 1980 /,[2022]
GW - CAH-2011,CAH 2162W - Obler - Fall 2023,"Obler, Bibiana",CAH 2162W,,9780205988945; 0205988946,photography a cultural history - mari,Pearson,Photography : a cultural history /,[2015]
GW - CAH-2011,CAH 2162W - Obler - Fall 2023,"Obler, Bibiana",CAH 2162W,,9780374521349; 0374521344; 9780809033409; 0809033402,camera lucida reflections on photography - bart,Hill and Wang,Camera lucida : reflections on photography /,1981.
GW - CAH-2011,CAH 2190 - Lee - Fall 2023,"Lee, Jung-Sil",CAH 2190,,0205837638; 9780205837632,asian art - neav,Pearson,Asian art /,[2015]
GW - CAH-2011,CAH 2190 - Lee - Fall 2023,"Lee, Jung-Sil",CAH 2190,,1101545305; 9781101545300; 0143124153; 9780143124153,history of the world in 100 objects - macg,Penguin Publishing Group,A History of the World in 100 Objects.,2011.
GW - CAH-2011,CAH 2190 - Lee - Fall 2023,"Lee, Jung-Sil",CAH 2190,,9780670022700; 0670022705,history of the world in 100 objects - macg,Viking,A history of the world in 100 objects /,2011.
GW - CAH-2011,CAH 3160 - Lipinski - Fall 2023,"Lipinski, Lisa",CAH 3160,,0520344324; 9780520344327,political body stories on art feminism and emancipation in latin america - giun,University of California Press,"The political body : stories on art, feminism, and emancipation in Latin America /",[2023]
GW - CAH-2011,CAH 3160 - Lipinski - Fall 2023,"Lipinski, Lisa",CAH 3160,,9780714832104; 0714832103,latin american art in the twentieth century -,Phaidon Press,Latin American art in the twentieth century /,[1996]
GW - CAH-2011,CAH 3160 - Lipinski - Fall 2023,"Lipinski, Lisa",CAH 3160,,9780810961210; 0810961210; 9780870704246; 0870704249; 9780870704314; 0870704311,latin american artists of the twentieth century -,The Museum of Modern Art,Latin American artists of the twentieth century /,[1993]
GW - CAH-2011,CAH 4189/6270 - Wetenhall - Fall 2023,"Wetenhall, Tanya",CAH 4189,,0140135154; 9780140135152,ways of seeing -,Penguin Books; British Broadcasting Corporation,Ways of seeing /,"c1977, c1972."
GW - CAH-2011,CAH 4189/6270 - Wetenhall - Fall 2023,"Wetenhall, Tanya",CAH 4189,,1501337408; 9781501337406; 9781501337352; 1501337351,survey of historic costume - tort,Fairchild Books Bloomsbury Publishing Inc,Survey of historic costume /,2021.
GW - CAH-2011,CAH 4189/6270 - Wetenhall - Fall 2023,"Wetenhall, Tanya",CAH 4189,,9780520082311; 0520082311; 9780380487776; 0380487772,seeing through clothes - holl,University of California Press,Seeing through clothes /,[1993]
GW - CAH-2011,CAH 4189/6270 - Wetenhall - Fall 2023,"Wetenhall, Tanya",CAH 4189,,9781350032729; 1350032727; 9781350032699; 1350032697; 9781350032736; 1350032735,reading fashion in art - mida,Bloomsbury Publishing; Bloomsbury Visual Arts,Reading fashion in art,2020.
GW - CAH-2011,CAH 6270 - Lipinski - Fall 2023,"Lipinski, Lisa",CAH 6270,,0520344324; 9780520344327,political body stories on art feminism and emancipation in latin america - giun,University of California Press,"The political body : stories on art, feminism, and emancipation in Latin America /",[2023]
GW - CAH-2011,CAH 6270 - Lipinski - Fall 2023,"Lipinski, Lisa",CAH 6270,,9780714832104; 0714832103,latin american art in the twentieth century -,Phaidon Press,Latin American art in the twentieth century /,[1996]
GW - CAH-2011,CAH 6270 - Lipinski - Fall 2023,"Lipinski, Lisa",CAH 6270,,9780810961210; 0810961210; 9780870704246; 0870704249; 9780870704314; 0870704311,latin american artists of the twentieth century -,The Museum of Modern Art,Latin American artists of the twentieth century /,[1993]
GW - CAH-2011,CAH 6400 - Lipinski - Fall 2023,"Lipinski, Lisa",CAH 6400,,0714844055; 9780714844053; 0714864951; 9780714864952,salon to biennial exhibitions that made art history -,Phaidon,Salon to biennial : exhibitions that made art history /,[2008-c2013]
GW - CAH-2011,CAH 6400 - Lipinski - Fall 2023,"Lipinski, Lisa",CAH 6400,,9780070182677; 0070182671,shock of the new seven historic exhibitions of modern art - dunl,American Heritage Press,The shock of the new; seven historic exhibitions of modern art.,[1972]
GW - CAH-2011,CAH 6400 - Lipinski - Fall 2023,"Lipinski, Lisa",CAH 6400,,9780262035521; 0262035529,beyond objecthood the exhibition as a critical form since 1968 - voor,The MIT Press,Beyond objecthood : the exhibition as a critical form since 1968 /,[2017]
GW - CAH-2011,CAH 6400 - Lipinski - Fall 2023,"Lipinski, Lisa",CAH 6400,,9780714864952; 0714864951,biennials and beyond exhibitions that made art history 1962 2002 - alts,Phaidon Press Limited,"Biennials and beyond : exhibitions that made art history, 1962-2002 /",2013.
GW - CAH-2011,CAH 6400 - Lipinski - Fall 2023,"Lipinski, Lisa",CAH 6400,,9780810936379; 0810936372,avant garde in exhibition new art in the 20th century - alts,Abrams,The avant-garde in exhibition : new art in the 20th century /,1994.
GW - CAS-2005,COMM 2100/6100 - Hundal - Fall 2023,"Hundal, Savreen",COMM 2100/6100,,1260254097; 9781260254099; 9781260807653; 1260807657,introducing communication theory analysis and application - west,McGraw-Hill Education,Introducing communication theory : analysis and application /,[2021]
GW - CAS-2005,HIST 1011 - Burns - Fall 2023,"Burns, William",HIST 1011,,0190602694; 9780190602697; 9780190602703; 0190602708,great hanoi rat hunt empire disease and modernity in french colonial vietnam - vann,Oxford University Press,"The great Hanoi rat hunt : empire, disease, and modernity in French colonial Vietnam /",[2019]
GW - CAS-2005,HIST 1011 - Burns - Fall 2023,"Burns, William",HIST 1011,,0674043898; 9780674043893; 0674013123; 9780674013124,two princes of calabar an eighteen century atlantic odyssey - spar,Harvard University Press,The two princes of Calabar : an eighteen century Atlantic odyssey /,[2004]
GW - CAS-2005,HIST 1011 - Burns - Fall 2023,"Burns, William",HIST 1011,,145761815X; 9781457618154,voices of decolonization a brief history with documents - shep,Bedford/St Martin's,Voices of decolonization : a brief history with documents /,[2015]
GW - CAS-2005,HIST 1011 - Burns - Fall 2023,"Burns, William",HIST 1011,,1624664326; 9781624664328; 1624664334; 9781624664335; 1624664342; 9781624664342,matteo ricci and the catholic mission to china 1583 1610 a short history with documents - hsia,Hackett Publishing Company Inc,"Matteo Ricci and the Catholic mission to China, 1583-1610 : a short history with documents /",[2016]
GW - CAS-2005,HIST 1011 - Burns - Fall 2023,"Burns, William",HIST 1011,,1624664342; 9781624664342; 1624664326; 9781624664328,matteo ricci and the catholic mission to china 1583 1610 a short history with documents - hsia,Hackett Publishing Company Inc,"Matteo Ricci and the Catholic Mission to China, 1583-1610 A Short History with Documents",2016.
GW - CAS-2005,HIST 1011 - Burns - Fall 2023,"Burns, William",HIST 1011,,9780674013124; 0674013123; 9780674032057; 0674032055,two princes of calabar an eighteenth century atlantic odyssey - spar,Harvard University Press,The two princes of Calabar : an eighteenth-century Atlantic odyssey /,2004.
GW - CHIN-11,CHIN 1001 - Zhang - Fall 2023,"Zhang, Phyllis",CHIN 1001,,1285433467; 9781285433462,developing chinese fluency an introductory course ni wo ta volume 2 - zhan,Cengage Learning,"Developing Chinese fluency, an introductory course. Ni wo ta /",[2015]
GW - CHIN-11,CHIN 1001 - Zhang - Fall 2023,"Zhang, Phyllis",CHIN 1001,,9781285433530; 128543353X,developing chinese fluency an introductory course ni wo ta volume 1 - zhan,Cengage Learning,"Developing Chinese fluency, an introductory course. Ni wo ta /",[2015]
GW - CHIN-11,CHIN 1001 - Zhang - Fall 2023,"Zhang, Phyllis",CHIN 1001,,9781285456799; 1285456793,developing chinese fluency an introductory course literacy workbook volume 1 - zhan,Centage Learning,Developing Chinese fluency. an introductory course : literacy workbook /,©2015.
GW - CHIN-11,CHIN/WGSS 3136W - Chen - Fall 2023,"Chen, Liana",CHIN/WGSS 3136W,,9781400060283; 1400060281,"snow flower and the secret fan a novel - see,",Random House,Snow flower and the secret fan : a novel /,2005.
GW - CLAS-177,CLAS 3107 - Rollston - Fall 2023,"Rollston, Christopher",CLAS 3107,,0664234976; 9780664234973,everyday law in biblical israel an introduction - west,Westminster John Knox Press,Everyday law in biblical Israel : an introduction /,c2009.
GW - CLAS-177,CLAS 3107 - Rollston - Fall 2023,"Rollston, Christopher",CLAS 3107,,0788503782; 9780788503788,law collections from mesopotamia and asia minor - roth,Scholars Press,Law collections from Mesopotamia and Asia Minor /,c1997.
GW - CLAS-177,CLAS 3107 - Rollston - Fall 2023,"Rollston, Christopher",CLAS 3107,,9780788501043; 0788501046; 9780788501265; 0788501267,law collections from mesopotamia and asia minor - roth,Scholars Press,Law collections from Mesopotamia and Asia Minor /,[1997]
GW - CLAS-177,CLAS 3107 - Rollston - Fall 2023,"Rollston, Christopher",CLAS 3107,,9780801842511; 0801842514; 9780801867156; 0801867150,amarna letters -,Johns Hopkins University Press,The Amarna letters /,[1992]
GW - CLAS-177,CLAS 3115 - Friedland - Fall 2023,"Friedland, Elise",CLAS 3115,,9780521002301; 0521002303; 9780521461436; 052146143X,mosaics of the greek and roman world - dunb,Cambridge University Press,Mosaics of the Greek and Roman world /,1999.
GW - CLAS-177,CLAS 3115 - Friedland - Fall 2023,"Friedland, Elise",CLAS 3115,,9780714109893; 0714109894; 9780714119052; 0714119059,ancient faces mummy portraits from roman egypt - brit,Published for the Trustees of the British Museum by the British Museum Press,Ancient faces : mummy portraits from Roman Egypt /,1997.
GW - CLAS-177,CLAS 3115 - Friedland - Fall 2023,"Friedland, Elise",CLAS 3115,,9780789211255; 0789211254,greek and roman mosaics - papp,Abbeville Press,Greek and Roman mosaics /,2012.
GW - CLAS-177,CLAS 3115 - Friedland - Fall 2023,"Friedland, Elise",CLAS 3115,,9780884023548; 0884023540,dumbarton oaks the collections - dumb,Distributed by Harvard University Press; Published by Dumbarton Oaks Research Library and Collection,Dumbarton Oaks : the collections /,2008.
GW - COMM-301,COMM 1040 - Newbill - Fall 2023,,COMM 1040,,0134380924; 9780134380926,public speaking finding your voice - turn,Pearson,Public speaking : finding your voice /,[2018]
GW - COMM-301,COMM 1040 - Piatt - Fall 2023,"Piatt, Barry",COMM 1040,,,speaker s guidebook text and reference - o'ha,Bedford/St Martin's,A speaker's guidebook : text and reference /,2022
GW - COMM-301,COMM 1040 - Piatt - Fall 2023,"Piatt, Barry",COMM 1040,,1478634898; 9781478634898,rhetorical criticism exploration and practice - foss,Waveland Press,Rhetorical criticism : exploration and practice /,[2018]
GW - COMM-301,COMM 1041 - Chaaban - Fall 2023,"Chaaban, Nader",COMM 1041,,0136968473; 9780136968474; 1292439556; 9781292439556; 9781292439600; 1292439602,interpersonal communication book - devi,Pearson,The interpersonal communication book /,[2022]
GW - COMM-301,COMM 1041 - Kennedy - Fall 2023,"Kennedy, Colleen",COMM 1041,,9780134877174; 0134877179,interpersonal communication relating to others - beeb,Pearson,Interpersonal communication : relating to others /,2020.
GW - COMM-301,COMM 1041 - Robbins - Fall 2023,"Robbins, Kellis",COMM 1041,,9780134877174; 0134877179,interpersonal communication relating to others - beeb,Pearson,Interpersonal communication : relating to others /,2020.
GW - COMM-301,COMM 1041 - Weiner - Fall 2023,"Weiner, Abbie",COMM 1041,,9780134877174; 0134877179,interpersonal communication relating to others - beeb,Pearson,Interpersonal communication : relating to others /,2020.
GW - COMM-301,COMM 6190 - Debebe - Fall 2023,"Debebe, Gelaye",COMM 6190,,0471174661; 9780471174660,dialogue rediscover the transforming power of conversation - elli,J Wiley & Sons,Dialogue : rediscover the transforming power of conversation /,[1998]
GW - CORC-1935,CIAR 3250 - Crawford - Fall 2023,"Crawford, Kent",CIAR 3250,,111937720X; 9781119377207; 9781119468578; 1119468574; 9781119468530; 1119468531,interior design illustrated - chin,John Wiley & Sons Inc,Interior design illustrated /,[2018]
GW - CORC-1935,CSA 3712 - McAleer-Keeler - Fall 2023,"McAleer-Keeler, Kerry",CSA 3712,,9780978588144; 0978588142,general printing - clee,Liber Apertus Press,General printing /,2006.
GW - ECON-18,ECON 1012 - Bird - Fall 2023,"Bird, Ronald",ECON 1012,,0357723066; 9780357723067,brief principles of macroeconomics - mank,Cengage Learning,Brief principles of macroeconomics /,2024
GW - ECON-18,ECON 2101 - Joshi - Fall 2023,"Joshi, Sumit",ECON 2101,,0134184246; 9780134184241; 0134167120; 9780134167121,microeconomics - pind,Pearson,Microeconomics /,[2018]
GW - ECON-18,ECON 2101 - Malik - Fall 2023,"Malik, Arun",ECON 2101,,9781118488874; 1118488873; 9781118572276; 1118572270,microeconomics - besa,Wiley,Microeconomics /,[2014]
GW - ECON-18,ECON 2151 - Fall 2023,,ECON 2151,,129229115X; 9781292291154; 1292291206; 9781292291208; 9781292291192; 1292291192,economic development - toda,Pearson,Economic development /,2020.
GW - ECON-18,ECON 2151 - Fall 2023,,ECON 2151,,9780133406788; 0133406784,economic development - toda,Pearson,Economic development /,[2015]
GW - ECON-18,ECON 2199 - Chiswick - Fall 2023,"Chiswick, Barry",ECON 2199,,0367346974; 9780367346973; 0367346982; 9780367346980; 9781000397871; 1000397874; 9781000397857; 1000397858; 9780429327209; 042932720X,modern labor economics theory and public policy - smit,Routledge,Modern labor economics : theory and public policy /,2023.
